scheibe_id,lochkreis,werkstoff,werkzeug_id,bohrung_nr,VB,VBmax,isp_max,isp_mittel,isp_std,iz_max,iz_mittel,iz_std
3,aussen,DA718,41,6,88.16666666666667,146.0,0.547,0.4376,0.1144,1.22,1.129,0.092
3,aussen,DA718,41,10,113.0,163.33333333333334,0.636,0.5211,0.1403,1.25,1.15,0.092
3,aussen,DA718,41,14,137.83333333333334,179.5,0.704,0.5654,0.1492,1.26,1.16,0.097
3,aussen,DA718,41,18,160.16666666666666,197.0,0.759,0.6312,0.1697,1.26,1.167,0.095
3,aussen,DA718,42,2,50.166666666666664,112.0,0.472,0.3701,0.0929,1.17,1.077,0.076
3,aussen,DA718,42,6,87.83333333333333,138.66666666666666,0.902,0.6694,0.1956,1.21,1.103,0.063
3,aussen,DA718,42,10,113.5,156.5,0.916,0.7257,0.1959,1.24,1.143,0.073
3,aussen,DA718,42,14,136.16666666666666,174.16666666666666,0.93,0.7533,0.2036,1.26,1.163,0.091
3,aussen,DA718,42,18,157.66666666666666,187.83333333333334,1.019,0.7578,0.2102,1.26,1.157,0.102
3,innen,IN718,49,2,38.0,119.66666666666667,0.308,0.2288,0.0776,0.628,0.5356,0.0624
3,innen,IN718,49,6,67.83333333333333,129.66666666666666,0.383,0.2629,0.1024,0.633,0.5379,0.0612
3,innen,IN718,49,10,78.5,131.66666666666666,0.451,0.3189,0.1147,0.643,0.531,0.0851
3,innen,IN718,49,14,97.5,151.16666666666666,0.547,0.3975,0.1344,0.681,0.5652,0.0898
3,innen,IN718,49,18,114.0,162.16666666666666,0.54,0.419,0.1384,0.695,0.5891,0.0929
3,innen,IN718,50,2,39.5,111.83333333333333,0.376,0.2745,0.0913,0.59,0.4968,0.0752
3,innen,IN718,50,6,60.333333333333336,124.66666666666667,0.465,0.3305,0.1162,0.638,0.5365,0.0782
3,innen,IN718,50,10,76.16666666666667,142.66666666666666,0.52,0.3772,0.1172,0.662,0.5609,0.0831
3,innen,IN718,50,14,93.5,149.0,0.574,0.4129,0.1399,0.686,0.5802,0.0773
3,innen,IN718,50,18,105.83333333333333,162.0,0.588,0.4241,0.1499,0.667,0.5499,0.0831
3,innen,IN718,51,2,35.5,120.33333333333333,0.376,0.2519,0.0911,0.59,0.4887,0.0615
3,innen,IN718,51,6,59.833333333333336,131.5,0.451,0.3263,0.1095,0.609,0.5033,0.076
3,innen,IN718,51,10,79.66666666666667,151.83333333333334,0.506,0.3661,0.1185,0.638,0.5316,0.0741
3,innen,IN718,51,14,95.0,159.66666666666666,0.547,0.4025,0.1374,0.657,0.5487,0.0897
3,innen,IN718,51,18,108.83333333333333,166.5,0.513,0.3761,0.142,0.647,0.5187,0.0832
3,innen,IN718,52,2,42.666666666666664,116.16666666666667,0.267,0.1914,0.0578,0.586,0.4967,0.0703
3,innen,IN718,52,6,61.833333333333336,123.16666666666667,0.349,0.2782,0.0708,0.614,0.5163,0.0838
3,innen,IN718,52,10,86.5,144.83333333333334,0.39,0.3202,0.0834,0.657,0.5505,0.0763
3,innen,IN718,52,14,98.83333333333333,152.33333333333334,0.444,0.3746,0.0902,0.671,0.5604,0.0753
3,innen,IN718,52,18,113.33333333333333,164.0,0.485,0.4021,0.1008,0.69,0.5699,0.0777
3,innen,IN718,53,2,37.166666666666664,110.66666666666667,0.301,0.2341,0.0598,0.595,0.4998,0.0641
3,innen,IN718,53,6,63.0,125.33333333333333,0.342,0.2763,0.0717,0.633,0.5333,0.0768
3,innen,IN718,53,10,77.16666666666667,136.5,0.424,0.331,0.0882,0.647,0.5503,0.0765
3,innen,IN718,53,14,93.5,153.66666666666666,0.451,0.3711,0.0978,0.667,0.5568,0.0853
3,innen,IN718,53,18,106.5,159.83333333333334,0.526,0.4294,0.1096,0.686,0.5631,0.0916
3,innen,IN718,54,2,35.166666666666664,98.33333333333333,0.342,0.2544,0.079,0.628,0.5093,0.083
3,innen,IN718,54,6,58.166666666666664,116.0,0.41,0.327,0.0855,0.609,0.5029,0.0885
3,innen,IN718,54,10,80.0,132.16666666666666,0.451,0.3572,0.0955,0.643,0.5251,0.0851
3,innen,IN718,54,14,95.0,148.0,0.485,0.3908,0.0967,0.657,0.5416,0.087
3,innen,IN718,54,18,107.5,160.5,0.54,0.4318,0.1137,0.667,0.5565,0.0835
3,mittel,IN718,43,2,34.833333333333336,103.83333333333333,0.328,0.1978,0.1003,0.543,0.4502,0.058
3,mittel,IN718,43,6,58.166666666666664,121.16666666666667,0.41,0.2614,0.1361,0.586,0.4935,0.0778
3,mittel,IN718,43,10,77.16666666666667,132.33333333333334,0.472,0.3506,0.1156,0.59,0.4888,0.0744
3,mittel,IN718,43,14,92.0,142.5,0.492,0.3613,0.1342,0.628,0.5288,0.0705
3,mittel,IN718,43,18,106.0,160.33333333333334,0.54,0.4055,0.1466,0.643,0.5394,0.0747
3,mittel,IN718,44,2,36.0,94.33333333333333,0.39,0.2723,0.0972,0.619,0.5174,0.0739
3,mittel,IN718,44,6,63.833333333333336,111.5,0.451,0.3162,0.1154,0.657,0.5506,0.0721
3,mittel,IN718,44,10,82.0,131.33333333333334,0.554,0.3954,0.1557,0.633,0.5363,0.0808
3,mittel,IN718,44,14,98.83333333333333,142.33333333333334,0.608,0.4312,0.1558,0.695,0.5831,0.0804
3,mittel,IN718,44,18,111.5,159.5,0.704,0.498,0.1924,0.667,0.5604,0.0921
3,mittel,IN718,45,2,36.833333333333336,106.66666666666667,0.342,0.243,0.0816,0.614,0.5144,0.0625
3,mittel,IN718,45,6,63.166666666666664,124.16666666666667,0.424,0.3058,0.1096,0.643,0.5451,0.0578
3,mittel,IN718,45,10,78.5,129.33333333333334,0.513,0.3676,0.1359,0.647,0.5412,0.0739
3,mittel,IN718,45,14,95.5,141.33333333333334,0.526,0.3942,0.132,0.671,0.5626,0.0784
3,mittel,IN718,45,18,124.5,173.83333333333334,0.643,0.464,0.1615,0.676,0.5636,0.0883
